Vardas         Pavardė       ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1        Pavardė1      10        1         8         8         8         2         7         9         8         7         4         3         3         6         5         7         
Vardas2        Pavardė2      9         9         10        7         3         1         5         4         2         8         9         2         3         3         6         1         
Vardas3        Pavardė3      1         4         3         4         3         7         1         5         3         6         6         5         6         7         9         5         
Vardas4        Pavardė4      5         7         9         4         8         9         10        7         4         7         2         3         1         9         1         5         
Vardas5        Pavardė5      6         8         7         7         7         5         2         3         10        7         2         7         6         1         9         9         
Vardas6        Pavardė6      2         3         2         9         5         7         9         3         6         3         7         6         9         9         2         6         
Vardas7        Pavardė7      1         6         4         5         8         10        6         1         9         3         9         4         6         6         4         9         
Vardas8        Pavardė8      7         9         3         8         8         2         9         7         9         4         4         10        8         6         4         9         
Vardas9        Pavardė9      3         10        1         7         10        2         8         9         2         2         1         3         7         3         4         9         
Vardas10       Pavardė10     3         8         1         2         7         10        10        2         8         3         1         5         6         10        7         3         
Vardas11       Pavardė11     6         5         6         2         3         2         5         4         4         1         1         8         9         9         2         10        
Vardas12       Pavardė12     4         4         10        1         10        7         7         3         7         8         7         10        3         10        10        10        
Vardas13       Pavardė13     9         6         3         10        6         2         5         2         1         1         8         7         1         1         1         5         
Vardas14       Pavardė14     10        3         7         5         2         2         8         8         1         10        1         5         4         10        3         1         
Vardas15       Pavardė15     3         8         7         2         3         1         8         2         8         4         4         4         6         4         7         7         
Vardas16       Pavardė16     4         7         1         10        7         7         1         10        5         4         7         6         7         8         7         4         
Vardas17       Pavardė17     9         3         10        6         6         2         2         3         6         3         3         6         1         10        4         10        
Vardas18       Pavardė18     6         7         5         7         2         6         8         4         9         9         8         4         3         10        10        2         
Vardas19       Pavardė19     8         1         10        8         2         9         10        8         9         9         9         7         2         7         10        5         
Vardas20       Pavardė20     10        9         9         1         4         9         3         3         9         2         5         10        7         2         6         5         
Vardas21       Pavardė21     2         9         10        1         4         1         4         7         10        1         10        1         2         7         9         1         
Vardas22       Pavardė22     6         6         6         3         3         2         3         1         8         9         6         8         10        5         2         10        
Vardas23       Pavardė23     8         5         8         5         3         5         7         7         7         10        10        8         5         1         4         9         
Vardas24       Pavardė24     10        1         2         9         5         10        8         1         4         4         3         7         5         3         9         1         
Vardas25       Pavardė25     1         8         6         5         6         10        5         10        8         1         2         1         8         4         2         6         
Vardas26       Pavardė26     10        9         2         2         4         10        10        5         10        3         1         8         6         7         9         2         
Vardas27       Pavardė27     9         4         2         2         4         4         5         10        10        4         1         6         9         3         3         7         
Vardas28       Pavardė28     9         4         8         9         6         4         10        6         9         6         10        2         7         8         4         2         
Vardas29       Pavardė29     4         3         10        1         5         10        6         3         2         8         6         1         3         2         2         9         
Vardas30       Pavardė30     2         1         1         4         7         2         2         10        5         2         5         4         8         9         9         6         
Vardas31       Pavardė31     7         6         4         8         3         4         5         2         4         5         1         7         7         5         6         8         
Vardas32       Pavardė32     6         1         4         4         10        4         5         8         7         10        8         3         8         6         9         7         
Vardas33       Pavardė33     6         4         6         10        1         8         1         7         3         7         1         3         9         6         3         5         
Vardas34       Pavardė34     8         4         2         9         3         9         2         8         4         9         8         3         10        5         2         8         
Vardas35       Pavardė35     7         8         6         9         7         4         8         4         5         2         10        8         7         2         1         9         
Vardas36       Pavardė36     6         10        2         5         8         4         9         9         7         5         3         6         5         1         2         4         
Vardas37       Pavardė37     9         6         1         5         10        1         2         1         1         10        4         1         1         1         3         4         
Vardas38       Pavardė38     8         8         3         1         6         8         6         6         3         7         1         2         6         7         5         1         
Vardas39       Pavardė39     7         8         6         10        10        6         8         2         8         3         1         5         9         10        2         1         
Vardas40       Pavardė40     7         1         8         9         5         8         9         3         8         7         1         10        2         1         9         9         
Vardas41       Pavardė41     9         1         5         2         7         1         2         9         7         3         7         2         9         10        8         2         
Vardas42       Pavardė42     2         6         1         4         9         2         2         8         6         5         1         6         1         5         3         3         
Vardas43       Pavardė43     6         4         6         7         1         7         2         8         7         3         6         3         6         9         8         7         
Vardas44       Pavardė44     2         9         1         8         2         10        4         2         3         6         10        10        6         6         8         7         
Vardas45       Pavardė45     3         8         1         3         9         8         8         9         4         7         7         8         5         8         2         9         
Vardas46       Pavardė46     9         9         9         1         7         2         8         4         1         5         4         3         6         2         8         7         
Vardas47       Pavardė47     5         2         4         6         9         5         3         5         10        3         5         7         6         2         3         8         
Vardas48       Pavardė48     9         7         6         7         9         2         9         9         8         1         9         6         6         1         5         1         
Vardas49       Pavardė49     1         8         4         5         5         8         2         3         1         1         4         9         10        6         6         3         
Vardas50       Pavardė50     5         1         2         7         6         1         10        4         2         7         5         8         6         5         8         8         
Vardas51       Pavardė51     4         8         9         1         6         3         9         8         6         6         9         7         7         3         7         8         
Vardas52       Pavardė52     3         1         1         7         1         6         10        5         9         8         1         5         10        3         6         5         
Vardas53       Pavardė53     1         6         8         8         7         5         1         5         5         2         7         9         8         6         9         9         
Vardas54       Pavardė54     10        2         9         10        4         5         3         7         6         5         4         2         9         2         1         7         
Vardas55       Pavardė55     1         8         10        7         10        6         7         2         5         4         5         1         10        10        2         2         
Vardas56       Pavardė56     9         3         10        10        2         1         8         3         3         5         2         7         9         3         5         8         
Vardas57       Pavardė57     4         9         9         3         10        1         1         2         4         7         1         7         10        7         4         2         
Vardas58       Pavardė58     10        5         10        7         2         9         2         4         3         3         4         1         5         7         3         8         
Vardas59       Pavardė59     4         2         9         2         2         5         2         5         7         9         5         3         8         6         10        8         
Vardas60       Pavardė60     1         1         2         8         2         7         7         8         5         3         6         7         3         10        7         10        
Vardas61       Pavardė61     3         3         6         1         1         4         5         9         6         5         3         5         10        2         6         9         
Vardas62       Pavardė62     10        7         4         9         9         4         3         1         10        1         8         2         7         5         4         9         
Vardas63       Pavardė63     5         9         9         8         4         3         2         9         1         6         3         2         4         8         4         1         
Vardas64       Pavardė64     6         10        1         1         9         7         3         6         8         9         9         9         2         5         8         7         
Vardas65       Pavardė65     7         2         9         1         10        10        9         10        9         10        8         6         4         8         2         10        
Vardas66       Pavardė66     8         5         8         7         7         7         1         3         1         10        5         9         9         8         1         10        
Vardas67       Pavardė67     3         9         8         2         8         4         2         6         1         3         6         8         4         3         7         6         
Vardas68       Pavardė68     2         8         8         6         6         5         4         1         2         9         3         2         10        1         8         6         
Vardas69       Pavardė69     6         5         1         4         1         6         10        1         8         6         9         6         10        8         10        8         
Vardas70       Pavardė70     4         4         10        9         7         3         8         8         7         5         7         6         9         8         4         4         
Vardas71       Pavardė71     7         5         6         4         2         2         5         6         9         6         9         1         3         4         8         6         
Vardas72       Pavardė72     3         7         5         9         2         10        6         7         1         3         8         10        8         7         6         3         
Vardas73       Pavardė73     7         1         1         3         5         2         9         2         9         7         8         1         3         10        1         1         
Vardas74       Pavardė74     3         5         6         6         6         8         4         5         4         9         7         1         7         4         6         5         
Vardas75       Pavardė75     9         7         4         8         7         5         9         7         8         1         10        8         6         2         1         2         
Vardas76       Pavardė76     2         5         5         6         5         8         8         3         9         3         3         10        2         9         6         1         
Vardas77       Pavardė77     1         7         3         10        10        9         10        7         10        7         9         8         5         10        8         3         
Vardas78       Pavardė78     2         3         7         10        6         4         8         6         3         8         3         7         2         4         1         9         
Vardas79       Pavardė79     10        4         10        10        9         4         7         1         2         5         4         6         6         9         4         4         
Vardas80       Pavardė80     2         4         5         1         9         3         4         7         8         5         4         7         1         6         10        10        
Vardas81       Pavardė81     9         5         6         2         9         1         10        8         1         6         1         1         4         9         8         6         
Vardas82       Pavardė82     7         3         8         4         5         10        5         10        2         5         1         2         4         2         5         8         
Vardas83       Pavardė83     3         7         1         8         7         8         3         9         4         7         10        1         5         7         9         2         
Vardas84       Pavardė84     9         10        8         1         8         3         10        8         8         7         9         8         5         4         7         5         
Vardas85       Pavardė85     10        1         9         3         9         3         8         8         7         1         8         7         3         6         1         4         
Vardas86       Pavardė86     2         5         6         4         7         1         5         4         3         2         8         9         3         9         7         6         
Vardas87       Pavardė87     4         8         8         2         8         9         5         8         4         6         6         3         10        5         1         2         
Vardas88       Pavardė88     7         7         5         8         7         3         10        10        1         5         8         5         9         1         2         4         
Vardas89       Pavardė89     7         1         2         10        10        7         3         9         8         4         7         3         2         10        1         3         
Vardas90       Pavardė90     8         10        8         1         7         7         5         8         4         9         5         10        4         8         10        6         
Vardas91       Pavardė91     2         7         8         2         6         4         8         9         8         6         4         8         4         2         4         7         
Vardas92       Pavardė92     1         2         8         5         8         2         6         4         7         2         4         7         2         7         5         4         
Vardas93       Pavardė93     5         7         4         8         7         5         5         6         9         5         9         3         4         8         9         10        
Vardas94       Pavardė94     9         3         6         3         4         8         3         10        2         7         3         10        3         8         7         5         
Vardas95       Pavardė95     1         7         9         8         1         10        9         8         7         9         1         2         8         5         5         10        
Vardas96       Pavardė96     8         4         9         3         4         2         7         6         5         7         10        4         9         7         1         8         
Vardas97       Pavardė97     10        6         1         1         7         9         10        9         7         9         3         4         7         3         9         9         
Vardas98       Pavardė98     3         5         10        8         3         8         6         7         6         10        4         7         5         3         10        5         
Vardas99       Pavardė99     5         3         1         10        7         4         7         5         7         5         4         10        3         6         8         10        
Vardas100      Pavardė100    3         7         7         3         1         4         9         1         4         3         5         7         7         5         9         10        
Vardas101      Pavardė101    4         9         2         1         10        4         10        2         6         10        10        8         2         7         8         7         
Vardas102      Pavardė102    9         3         7         6         5         4         2         4         7         6         8         1         1         7         2         2         
Vardas103      Pavardė103    3         3         7         10        6         9         7         2         9         9         4         6         4         1         8         8         
Vardas104      Pavardė104    7         2         3         8         8         1         5         3         3         7         8         8         7         2         2         5         
Vardas105      Pavardė105    2         8         9         6         2         2         10        10        9         8         2         4         4         5         10        9         
Vardas106      Pavardė106    8         8         1         9         7         8         4         9         5         2         2         2         2         3         10        3         
Vardas107      Pavardė107    1         8         8         3         6         1         8         5         5         10        4         3         9         5         8         6         
Vardas108      Pavardė108    10        10        1         4         4         8         5         1         5         8         2         2         7         7         3         1         
Vardas109      Pavardė109    7         7         7         10        1         8         6         9         2         8         6         1         10        9         9         8         
Vardas110      Pavardė110    7         7         4         6         4         10        2         8         1         1         8         8         8         2         10        3         
Vardas111      Pavardė111    6         2         6         2         7         6         10        3         6         5         10        3         7         10        1         7         
Vardas112      Pavardė112    4         4         1         9         9         7         5         5         7         8         6         3         1         7         10        4         
Vardas113      Pavardė113    7         6         8         5         5         1         2         5         10        9         4         1         7         5         4         9         
Vardas114      Pavardė114    2         2         1         9         9         1         1         2         4         7         9         9         2         7         5         6         
Vardas115      Pavardė115    4         7         5         2         10        8         9         5         10        2         10        9         7         3         1         9         
Vardas116      Pavardė116    1         10        9         5         3         4         8         9         1         9         2         6         10        3         8         5         
Vardas117      Pavardė117    3         5         10        10        1         10        7         2         4         1         2         5         5         6         2         8         
Vardas118      Pavardė118    5         4         1         2         3         6         5         6         10        4         5         8         3         2         1         1         
Vardas119      Pavardė119    6         4         1         6         7         2         1         1         9         1         7         2         7         10        2         2         
Vardas120      Pavardė120    7         7         9         3         4         5         2         7         2         8         1         5         2         5         9         6         
Vardas121      Pavardė121    2         4         1         10        9         7         10        9         2         1         1         2         3         1         7         5         
Vardas122      Pavardė122    5         9         3         3         4         8         9         9         1         3         7         10        9         1         5         5         
Vardas123      Pavardė123    3         5         1         1         2         9         10        10        1         10        7         9         1         1         8         7         
Vardas124      Pavardė124    7         7         7         3         1         1         10        8         10        5         3         5         10        2         7         2         
Vardas125      Pavardė125    7         3         6         3         10        8         1         9         4         6         7         8         5         1         4         1         
Vardas126      Pavardė126    7         8         5         2         5         1         6         9         8         5         10        4         4         7         2         3         
Vardas127      Pavardė127    7         8         6         4         4         2         1         4         6         2         2         3         7         10        10        2         
Vardas128      Pavardė128    6         7         7         6         9         10        6         4         3         4         9         2         3         4         10        10        
Vardas129      Pavardė129    2         5         9         8         1         9         6         4         8         1         10        7         9         8         10        5         
Vardas130      Pavardė130    6         8         2         5         8         7         7         2         6         2         3         10        3         3         5         10        
Vardas131      Pavardė131    6         1         6         2         7         10        7         6         6         8         2         4         2         4         8         8         
Vardas132      Pavardė132    6         9         9         9         8         3         10        4         10        5         5         5         9         9         1         4         
Vardas133      Pavardė133    8         4         2         10        9         1         7         8         4         8         5         3         7         6         5         7         
Vardas134      Pavardė134    2         1         3         3         5         2         9         10        6         6         3         10        8         9         4         7         
Vardas135      Pavardė135    2         4         10        4         8         1         2         7         9         7         3         7         10        9         7         6         
Vardas136      Pavardė136    2         2         8         9         3         6         2         6         8         7         3         4         6         6         2         5         
Vardas137      Pavardė137    3         6         9         5         7         6         10        1         1         4         3         5         9         3         9         7         
Vardas138      Pavardė138    5         3         3         5         8         2         1         7         2         9         4         6         6         1         3         6         
Vardas139      Pavardė139    8         8         6         2         9         7         1         10        3         1         3         8         1         7         7         5         
Vardas140      Pavardė140    6         9         9         4         8         7         4         5         3         10        3         5         9         1         7         2         
Vardas141      Pavardė141    5         5         4         10        5         5         3         9         1         8         6         4         6         4         2         3         
Vardas142      Pavardė142    5         10        10        10        9         1         9         10        4         7         8         6         1         10        4         1         
Vardas143      Pavardė143    6         3         2         3         2         5         10        7         2         7         2         5         9         9         3         9         
Vardas144      Pavardė144    4         8         5         10        9         7         3         6         5         1         6         7         2         2         9         9         
Vardas145      Pavardė145    9         5         7         7         8         1         9         6         1         10        6         3         5         8         10        1         
Vardas146      Pavardė146    1         9         7         9         1         3         3         7         7         5         4         10        5         3         3         7         
Vardas147      Pavardė147    8         2         6         5         2         8         1         5         8         2         5         1         7         5         9         4         
Vardas148      Pavardė148    4         9         6         2         8         3         2         2         5         6         6         6         7         2         6         1         
Vardas149      Pavardė149    10        1         1         8         2         3         10        8         8         2         9         7         6         3         2         9         
Vardas150      Pavardė150    3         4         2         6         1         4         3         3         10        8         3         5         3         8         10        9         
Vardas151      Pavardė151    6         10        1         7         4         4         5         10        7         10        10        6         1         9         3         3         
Vardas152      Pavardė152    2         10        1         9         8         3         9         4         1         5         3         3         6         6         5         10        
Vardas153      Pavardė153    2         9         10        7         8         5         6         4         5         7         1         8         3         8         2         5         
Vardas154      Pavardė154    9         4         7         1         3         6         9         2         4         10        5         5         9         3         5         4         
Vardas155      Pavardė155    7         6         1         4         10        3         9         1         6         2         2         2         8         10        3         7         
Vardas156      Pavardė156    3         3         1         5         4         1         8         5         4         2         4         6         4         9         4         5         
Vardas157      Pavardė157    4         7         5         8         9         1         10        4         8         2         4         10        3         4         10        6         
Vardas158      Pavardė158    4         6         5         1         6         8         3         4         8         7         8         10        8         6         9         7         
Vardas159      Pavardė159    1         8         4         9         5         2         10        3         3         10        2         2         8         10        8         3         
Vardas160      Pavardė160    3         1         5         6         7         1         7         10        7         2         2         4         8         3         9         8         
Vardas161      Pavardė161    2         4         8         6         5         10        7         3         6         7         1         6         3         10        5         8         
Vardas162      Pavardė162    7         7         9         2         9         4         9         9         9         3         10        2         10        5         5         8         
Vardas163      Pavardė163    5         6         7         1         3         8         3         10        8         5         4         10        3         3         8         9         
Vardas164      Pavardė164    10        7         1         6         8         3         2         5         5         4         1         1         1         2         4         8         
Vardas165      Pavardė165    1         2         6         7         7         7         5         9         4         1         9         4         2         1         10        5         
Vardas166      Pavardė166    4         1         5         10        9         10        3         7         9         5         2         5         9         4         10        1         
Vardas167      Pavardė167    8         3         7         3         7         8         2         5         7         1         10        6         9         2         8         3         
Vardas168      Pavardė168    6         1         5         6         7         10        5         1         7         10        5         8         6         2         6         2         
Vardas169      Pavardė169    6         7         9         4         5         8         1         1         2         6         5         5         5         2         8         10        
Vardas170      Pavardė170    2         2         10        4         6         7         5         4         10        3         1         1         5         1         6         9         
Vardas171      Pavardė171    10        7         3         7         10        7         3         8         6         1         1         3         3         8         9         5         
Vardas172      Pavardė172    8         3         10        2         5         1         10        5         3         10        10        4         8         8         8         9         
Vardas173      Pavardė173    9         10        10        1         4         9         8         2         6         5         9         7         4         6         2         2         
Vardas174      Pavardė174    9         1         7         7         7         7         7         4         8         9         1         6         7         3         7         3         
